brand_name,model_name,battery_type,resolution,os,video_4K,ram(GB),storage(GB),popularity,best_price,lowest_price,highest_price,sellers_amount,screen_size,memory_size,battery_size
17,1,1,1344x2772,166,1,12,512,6.561030665896573,5.683579767338681,260.0,1,41.0,3.4,64,1
58,1,1,1080x2400,166,1,8,128,7.05444965813294,8.161375023197486,3315.0,1,28.0,6.22,64,74
39,2,1,1080x2400,193,1,8,128,6.066108090103747,8.18004072349016,3549.0,3,2.0,5.2,32,54
16,2,1,720x1560,193,0,4,64,6.222576268071369,8.537191877922927,4999.0,2,7.0,6.3,64,7
39,2,1,1080x2400,193,1,8,64,6.220590170099739,9.366489054466115,11490.0,2,2.0,6.4,128,4
60,1,1,1080x2460,68,1,6,128,6.814542897259958,9.854454858958817,12729.0,1,40.0,5.5,256,7
103,1,1,1080x2400,193,1,8,128,6.70808408385307,9.856160068128911,13134.0,1,31.0,7.3,512,7
58,1,1,720x1600,166,0,4,32,7.064759027791802,8.53405030848266,4649.0,1,45.0,6.53,64,10
27,1,1,1080x1920,32,0,4,32,6.049733455231958,8.293799608846818,4574.0,167,2.0,6.21,32,23
14,1,0,1440x3120,63,1,4,32,7.024649030453636,9.004668301573977,7298.0,3,21.0,6.4,128,1
39,1,1,1080x2160,139,1,4,64,6.834108738813838,8.34687925374656,4199.0,2,5.0,6.5,64,74
27,1,0,720x1280,32,0,2,16,5.3706380281276624,8.506738733512378,4646.0,1,8.0,6.21,64,23
15,1,0,1080x1920,32,0,2,32,6.501289670540389,8.580731212220226,4574.0,167,1.0,5.95,64,23
33,1,1,1080x2376,166,0,8,128,5.0369526024136295,8.00603417874901,4574.0,167,1.0,5.0,8,74
58,1,1,1080x2280,193,1,8,64,6.99117688712121,9.429957713513835,4574.0,167,1.0,6.57,64,3
6,1,0,1080x2160,45,1,6,32,4.406719247264253,8.128880142125638,3119.0,1,5.0,6.09,32,88
6,1,1,1080x2400,166,1,8,128,6.588926477533519,8.338783971442199,4149.0,1,2.0,6.2,64,23
6,2,1,720x1440,63,0,4,32,4.663439094112067,5.529429087511423,220.0,3,20.0,3.4,32,9
23,1,1,1080x2460,68,1,18,256,2.70805020110221,8.070593539949519,4574.0,167,1.0,6.3,64,2
15,1,1,1080x2400,193,1,8,64,5.84354441703136,7.9247959139564355,2699.0,3,3.0,5.7,16,20
24,1,0,1440x2880,139,1,6,64,5.749392985908253,8.808668062106715,6486.0,1,6.0,5.7,64,7
2,1,1,1080x2376,166,1,8,128,6.249975242259483,8.536014945656826,4897.0,1,3.0,5.99,128,1
34,2,0,720x1440,45,0,4,32,5.480638923341991,7.524021415206125,1795.0,2,2.0,5.5,16,7
24,1,0,720x1480,45,0,4,32,4.418840607796598,6.705639094860003,755.0,1,4.0,3.4,8,13
13,1,1,1080x2412,166,0,8,128,5.87493073085203,6.539585955617669,616.0,2,25.0,3.4,64,27
17,1,1,1440x3200,166,1,6,128,6.459904454377535,7.746732907753622,1999.0,1,18.0,6.52,16,74
23,1,1,720x1600,1,0,4,32,6.16541785423142,8.632662441222351,4899.0,1,6.0,6.18,128,5
60,1,1,1080x2408,68,1,6,128,7.026426808699636,9.856160068128911,13134.0,1,59.5,5.8,256,2
103,2,1,1080x2400,139,0,8,128,5.37989735354046,9.804440398934894,13134.0,2,6.0,6.3,128,20
34,1,0,1080x2246,63,1,6,64,6.263398262591624,8.430327258394575,4440.0,1,19.0,5.0,64,1
6,1,0,1080x2160,63,0,4,32,6.424869023905388,7.377133712833954,4574.0,167,1.0,5.0,16,6
103,1,1,1080x2340,139,1,8,256,5.631211781821365,8.648045999835,4574.0,167,1.0,6.0,64,20
19,1,1,1080x2340,139,0,8,128,6.895682697747868,9.576856729945773,13134.0,1,21.0,6.21,128,1
58,1,1,720x1600,193,0,6,32,6.8308742346461795,9.315060682746585,8649.0,1,9.0,6.57,128,3
13,1,1,1080x2460,193,0,4,128,7.085064293952548,9.189627330378642,7900.0,1,28.0,6.49,128,12
